channel,flutter_version,dart_sdk_version,release_date,flutter_release_commit_hash,engine_version_commit_hash,snapshot_hash
stable,3.22.2,3.4.3,2024-06-06T17:06:32.518630Z,761747bfc538b5af34aa0d3fac380f1bc331ec49,edd8546116457bdf1c5bdfb13ecb9463d2bb5ed4,d20a1be77c3d3c41b2a5accaee1ce549
stable,3.22.1,3.4.1,2024-05-22T19:52:59.690978Z,a14f74ff3a1cbd521163c5f03d68113d50af93d3,55eae6864b296dd9f43b2cc7577ec256e5c32a8d,d20a1be77c3d3c41b2a5accaee1ce549
stable,3.22.0,3.4.0,2024-05-13T20:44:28.472051Z,5dcb86f68f239346676ceb1ed1ea385bd215fba1,f6344b75dcf861d8bf1f1322780b8811f982e31a,d20a1be77c3d3c41b2a5accaee1ce549
beta,3.22.0-0.3.pre,3.4.0 (build 3.4.0-282.3.beta),2024-04-24T16:53:46.929006Z,87b652410dbf20003c437ab6512118622d95770f,b4bfd459865a8d636f26aca0d330ae297c006c3c,d20a1be77c3d3c41b2a5accaee1ce549
beta,3.22.0-0.2.pre,3.4.0 (build 3.4.0-282.2.beta),2024-04-19T16:11:03.515831Z,312b9e81e93663b38f8e58d540be860fc75372b9,a86e74cf06f7a7f5f3a52a9d6c1e8f62ef1253dc,d20a1be77c3d3c41b2a5accaee1ce549
stable,3.19.6,3.3.4,2024-04-17T21:11:39.450983Z,54e66469a933b60ddf175f858f82eaeb97e48c8d,c4cd48e186460b32d44585ce3c103271ab676355,ee1eb666c76a5cb7746faf39d0b97547
beta,3.22.0-0.1.pre,3.4.0 (build 3.4.0-282.1.beta),2024-04-04T17:40:33.635200Z,29babcb32a591b9e5be8c6a6075d4fe605d46ad3,97550907b70f4f3b328b6c1600df21fac1a1889a,d20a1be77c3d3c41b2a5accaee1ce549
stable,3.19.5,3.3.3,2024-03-28T16:19:11.263597Z,300451adae589accbece3490f4396f10bdf15e6e,e76c956498841e1ab458577d3892003e553e4f3c,ee1eb666c76a5cb7746faf39d0b97547
stable,3.19.4,3.3.2,2024-03-21T18:11:09.260649Z,68bfaea224880b488c617afe30ab12091ea8fa4e,a5c24f538d05aaf66f7972fb23959d8cafb9f95a,ee1eb666c76a5cb7746faf39d0b97547
beta,3.21.0-0.0.pre,3.4.0 (build 3.4.0-190.1.beta),2024-03-13T16:16:57.644835Z,c398442c35db146256911e3745736fa0d3d0437b,0d4f78c952552819753a2676b318e181004ba746,75f170bc3de3cc2026e3e159bef60351
stable,3.19.3,3.3.1,2024-03-08T00:20:18.160988Z,ba393198430278b6595976de84fe170f553cc728,2e4ba9c6fb499ccd4e81420543783cc7267ae406,ee1eb666c76a5cb7746faf39d0b97547
stable,3.19.2,3.3.0,2024-02-28T18:29:08.735772Z,7482962148e8d758338d8a28f589f317e1e42ba4,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
